dataset_id,split,replicate,complexity_condition,global_truth_K,candidate_index,candidate_id,lipid_name,X_hat,candidate_truth,molecular_truth,same_lipid_alternative_candidate,rho_zero,reportable_truth,cone_isolation,max_fragment_cosine,max_full_cosine,lipid_class,collective_gain,pair_id,unit_id,role,spectral_score_CAL,spectral_score_HOLD,joint_hard_score,joint_easy_score,fragment_cosine,fragment_support_jaccard,full_cosine,parent_cosine,base_template_id,realized_spatial_correlation,abundance_multiplier,K
CAL_R5_K175,CAL,R5,K175,175,0,PA-H__0075,PA 16:0_24:0,0.01961890128797758,True,True,False,3.4992280444979944e-06,True,0.729606198131629,0.7748217721703936,0.44170172724713597,PA,0.16755576280234685,B2_U7_U22,7,spectral_easy_spatial_high,0.16836124794745483,0.15682101806239737,0.15682101806239737,0.16836124794745483,0.0,0.0,0.0,0.0,121,0.9865236566219531,2.0,175
CAL_R5_K175,CAL,R5,K175,175,1,PA-H__0076,PA 16:0_24:1,0.0011412812805498252,False,False,False,4.31187376235356e-23,False,0.5504804076642431,0.883487638633687,0.6654546118919494,PA,0.19595790828137805,,,UNASSIGNED_FALSE_POSITIVE,,,,,,,,,,,,175
CAL_R5_K175,CAL,R5,K175,175,2,PA-H__0079,PA 16:0_24:4,0.009602986075248744,False,False,False,3.6486703955484726e-22,False,0.2223063465458067,0.9171280506076233,0.9158818256178151,PA,0.17914163452145218,,,UNASSIGNED_FALSE_POSITIVE,,,,,,,,,,,,175
CAL_R5_K175,CAL,R5,K175,175,3,PA-H__0080,PA 16:0_24:5,0.008393626829456895,True,True,False,8.573242560650886e-07,True,0.22923411741411742,0.9171280506076233,0.9158818256178151,PA,0.17221386365314145,B6_U16_U150,150,spectral_hard_spatial_high,0.8016518883415436,0.8704121510673235,0.8016518883415436,0.8704121510673235,0.6012836678060572,0.3106796116504854,0.6004958373364375,0.0,171,0.9903016276667584,2.0,175
CAL_R5_K175,CAL,R5,K175,175,4,PA-H__0100,PA 24:0_16:1,0.01062299225825629,True,True,False,7.218058673095734e-07,True,0.47172636833494863,0.7350890401757907,0.6635490105932277,PA,0.2764064477750978,B6_U39_U54,54,spectral_easy_spatial_low,0.1792183908045977,0.5071083743842364,0.1792183908045977,0.5071083743842364,0.0,0.0,0.0,0.0,180,-0.25476729709882673,0.5,175
CAL_R5_K175,CAL,R5,K175,175,5,PA-H__0117,PA 18:0_22:0,0.0029351511817803213,False,False,False,4.440393110065058e-20,False,0.3381799302246325,0.7789494468002593,0.6213615663357793,PA,0.44534403487199864,,,UNASSIGNED_FALSE_POSITIVE,,,,,,,,,,,,175
CAL_R5_K175,CAL,R5,K175,175,6,PA-H__0118,PA 18:0_22:1,0.008844456582153612,True,True,False,4.531784273413102e-08,True,0.3291126428847987,0.854010491337717,0.7758194394971382,PA,0.30184234544507127,B5_U81_U105,105,spectral_hard_spatial_high,0.7206288998357964,0.7457405582922824,0.7206288998357964,0.7457405582922824,0.052767460600135624,0.16153846153846155,0.047451137602932195,0.0,290,0.9966220556977006,0.5,175
CAL_R5_K175,CAL,R5,K175,175,9,PA-H__0121,PA 18:0_22:4,0.0034538405471596753,False,False,False,7.635365070267079e-22,False,0.18925162859522815,0.8691673191165914,0.8645836840369737,PA,0.31323723028330897,,,UNASSIGNED_FALSE_POSITIVE,,,,,,,,,,,,175
CAL_R5_K175,CAL,R5,K175,175,10,PA-H__0122,PA 18:0_22:5,0.007747543640074831,True,True,False,9.200818362286089e-10,True,0.13936661280823676,0.9374908882297373,0.9345818680853585,PA,0.21638151697754526,B4_U64_U141,141,spectral_hard_spatial_high,0.7657668308702792,0.7451904761904762,0.7451904761904762,0.7657668308702792,0.07496740643032661,0.23423423423423423,0.07025785758396863,0.0,336,0.9958767175643264,0.5,175
CAL_R5_K175,CAL,R5,K175,175,11,PA-H__0124,PA 18:0_24:0,0.005774505305734948,True,True,False,1.7824696222916207e-05,True,0.5363596171784565,0.7271532361366108,0.6313329291237251,PA,0.239152299302559,B3_U13_U90,13,spectral_hard_spatial_high,0.7239244663382594,0.6166551724137932,0.6166551724137932,0.7239244663382594,0.17572525850461496,0.11711711711711711,0.1511902006158474,0.0,246,0.9857917483350076,0.5,175
